species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Long-billed Curlew,1,53,0.8491,0.7895,0.8491,0.8182,0.9623
Tufted Titmouse,1,60,0.8500,0.8361,0.8500,0.8430,0.9667
Spotted Towhee,1,60,0.8500,0.7969,0.8500,0.8226,0.9167
Horned Lark,1,60,0.8500,0.8947,0.8500,0.8718,0.9333
White-crowned Sparrow,2,120,0.8500,0.8632,0.8500,0.8565,0.9500
Lincoln's Sparrow,1,60,0.8500,0.7846,0.8500,0.8160,1.0000
Least Sandpiper,1,60,0.8500,0.8226,0.8500,0.8361,0.9667
Common Merganser,2,74,0.8514,0.7551,0.8430,0.7927,0.9730
Chestnut-backed Chickadee,1,54,0.8519,0.7077,0.8519,0.7731,0.9815
Ring-necked Pheasant,2,61,0.8525,0.8665,0.7789,0.8174,0.9016
Brown Pelican,1,34,0.8529,0.8788,0.8529,0.8657,0.9706
Vermilion Flycatcher,2,89,0.8539,0.7522,0.8284,0.7884,0.9438
American Oystercatcher,1,49,0.8571,0.9767,0.8571,0.9130,0.9388
Red-winged Blackbird,2,119,0.8571,0.8594,0.8573,0.8581,0.9664
White Ibis,2,91,0.8571,0.8598,0.8292,0.8390,0.9341
Black-throated Blue Warbler,2,91,0.8571,0.8028,0.8398,0.8192,0.9890
Black-headed Grosbeak,2,106,0.8585,0.8241,0.8545,0.8383,0.9717
Barn Swallow,1,57,0.8596,0.8909,0.8596,0.8750,0.9474
Dunlin,2,93,0.8602,0.9310,0.8596,0.8926,0.9785
Roseate Spoonbill,1,29,0.8621,0.9259,0.8621,0.8929,0.9655
Wilson's Phalarope,2,81,0.8642,0.8185,0.8541,0.8358,0.9877
Wilson's Warbler,1,60,0.8667,0.8525,0.8667,0.8595,0.9500
Black Phoebe,1,60,0.8667,0.7222,0.8667,0.7879,0.9833
Mallard,2,120,0.8667,0.8080,0.8667,0.8336,0.9417
Mountain Chickadee,1,53,0.8679,0.7931,0.8679,0.8288,0.9623
Eastern Towhee,1,54,0.8704,0.8704,0.8704,0.8704,0.9815
Bridled Titmouse,1,31,0.8710,0.9643,0.8710,0.9153,0.9677
American Redstart,2,119,0.8739,0.8555,0.8734,0.8640,0.9412
Varied Thrush,1,56,0.8750,0.7903,0.8750,0.8305,0.9107
American Wigeon,2,64,0.8750,0.9179,0.8503,0.8826,0.9531
American Goldfinch,2,120,0.8750,0.8520,0.8750,0.8609,0.9583
Painted Bunting,2,98,0.8776,0.7411,0.8635,0.7852,0.9796
American Tree Sparrow,1,59,0.8814,0.7647,0.8814,0.8189,0.9831
Greater Roadrunner,1,34,0.8824,0.8333,0.8824,0.8571,0.9412
Barred Owl,1,60,0.8833,0.9464,0.8833,0.9138,0.9667
Marbled Godwit,1,60,0.8833,0.7794,0.8833,0.8281,1.0000
Belted Kingfisher,1,60,0.8833,0.8833,0.8833,0.8833,0.9500
Black-and-white Warbler,1,60,0.8833,0.8833,0.8833,0.8833,0.9500
Pine Siskin,1,60,0.8833,0.8413,0.8833,0.8618,0.9667
Cactus Wren,1,43,0.8837,0.8261,0.8837,0.8539,0.9767
